"","x"
"92","My interview with PJTV re: Mass. election, health care bill, and massive gov't spending. http://ow.ly/10mvv"
"93","RT @GOPLeader: Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now"
"94","We must cut spending 2 save our nation�s economic future. I look forward 2 working 2 steer our country�s fiscal ship in the right direction."
"95","Omnibus Spending Bill is an Epic Failure: http://ow.ly/KJ7W"
"96","Video: Lummis Interview with Fox Business�s Neil Cavuto on health care and government spending. http://tumblr.com/xpv3lbh20"
"97","Low-light #1 of the $446 billion Omnibus Spending Bill - Phases out the DC School Voucher Program"
"98","At 2 p.m. (MT) today, I'll be on FOX Business to discuss Washington's unsustainable spending.Tune in!"
"99","Wall Street Journal: this is a modern spending landmark"
"100","Freeze only after 84 percent spending increase? Americans won't buy it."
"101","Low-light #4 of the $446 billion Omnibus Spending Bill - 23% increase in spending for Transportation &amp; HUD Departments for a total of $69.9B"
"102","Low-light #3 of the $446 billion Omnibus Spending Bill - Allows the DC government to use local funds for abortions"
"103","Low-light #2 of the $446 billion Omnibus Spending Bill - Allows funds to transfer GITMO detainees to the US for trial"
"104","Lummis calls for an end to stimulus spending. http://bit.ly/1jGian"
"105","Cong. Budget Office confirms cap &amp; trade bill includes massive new taxes &amp; spending. $846 billion in new taxes."
"106","Administration needs to cut spending to meet tax revenues."
"107","Budget - record spending doubles debt in five years, nearly triples in ten years"
"108","Will vote against D's budget, but vote 4 the GOP's budget which will cut our deficit and tighten Washington spending. http://bitly.com/4MGMs"
"109","Here's the correct link to my interview with Dateline Washington on the $410 bill spending bill: http://bitly.com/mYEqL"
"110","@imninnkeeper It�s a scary reality that at the rate we are spending, the Fed may have to finance our debt with new printing."
"111","If you think taxes and government spending are out of control, join @lungren2010 and the online march to DC now! http://ow.ly/1nAgk"
"112","Great idea from @reppaulryan: Cut/cap spending/reform F&amp;F/freeze gov't pay. Vote to cut spending now @usaspeakingout http://bit.ly/9lyemi"
"113","Missed great citizen-watchdog work! MAP http://bit.ly/fHPQkm @latimestot Spending millions on signs advertising Obama http://lat.ms/ftkf4Z"
"114","And Fannie/Freddie STILL don't have an inspector general to track spending (waste) of $400 billion+ of your $: http://bit.ly/5l1ZRJ"
"115","Would you do this to your kid's piggy bank? RT @GOPWhip Runaway spending amounts to generational theft http://j.mp/PiggyBank"
"116","RT @GOPLeader New House Rules: PAY/GO will be replaced with CUT/GO, requires spending cuts to offset any proposed spending increases"
"117","Winner #5: @rumpfshaker doesn't like pork spending so much, she wants coal instead! (PIC:  http://yfrog.com/gyfo0aj) #tcot"
"118","Winner #3: @littlebettina asks for spending cuts under her tree this year (you'll get some!) (PIC:  http://yfrog.com/gy110oj) #tcot"
"119","Winner #1: @OHCONSERVATISM on the """"HO HORRENDOUS"""" spending going on this holiday season (PIC:  http://yfrog.com/gztzroj) #tcot"
"120","This group of proven #GOPWatchdog s has worked hard to deliver spending accountability these past two years. We're ready for more."
"121","GOP Watchdog @Jim_Jordan will power oversight of Regulatory Affairs, Stimulus Oversight and Government Spending  http://j.mp/g7mIO6"
"122","Congrats to three new Team Oversight Chairmen &amp; Spending Watchdogs: @Jim_Jordan, @Jasoninthehouse and @PatrickMcHenry #FF"
"123","RT: @OHCONSERVATISM Dear LameDucks! Stop the HO HORRENDOUS spending. It's not your money! It's ours! Your Boss. The Citizens"
"124","Ho ho ho RT @travelearl @DarrellIssa Deck the halls with spending folly.... fa la la la la.... la la ka-ching! #captioncontest #FF"
"125","@Winghunter @NiteOwl223 @Herfarm @theRealExTex need your help, your tough questions, your online prowess to turn spending ship around #ff"
"126","Anyone have a handy link on votes taken in Senate on FY 2011 omnibus spending splurge for @pkrbkr66 ?"
"127","RT @PatrickMcHenry Senate Dems want new spending bill w/ over 6,000 #earmarks. Don't they remember November? http://wapo.st/gXV3fg"
"128","Anyone have a handy link on votes taken in Senate on FY 2011 omnibus spending splurge for @pkrbkr66 ?"
"129","RT @PatrickMcHenry Senate Dems want new spending bill w/ over 6,000 #earmarks. Don't they remember November? http://wapo.st/gXV3fg"
"130","@savetheusa true, but it's part of the solution and we have to start somewhere.  why not make spending/waste cuts we can right now?"
"131","Stopping waste also requires strong, independent, front-line #IG watchdogs WITHIN agencies spending your $. They're close to source of waste"
"132","With so much waste, so much bureaucracy, so much spending, we taxpayer watchdogs in Congress need as much help as we can get"
"133","Like original sin, our federal debt-&amp;-spending problem has been passed on to states http://nyti.ms/dTFFZE How are your city/state finances?"
"134","Stopping waste also requires strong, independent, front-line #IG watchdogs WITHIN agencies spending your $. They're close to source of waste"
"135","With so much waste, so much bureaucracy, so much spending, we taxpayer watchdogs in Congress need as much help as we can get"
"136","Like original sin, our federal debt-&amp;-spending problem has been passed on to states http://nyti.ms/dTFFZE How are your city/state finances?"
"137","Shared some ideas to force transparency and accountability on #stimulus, fed spending with the VP. Stay tuned..."
"138","Tomorrow I'm visiting @JoeBiden to discuss beefing up #stimulus oversight,  transparency in federal spending. Any suggestions to pass along?"
"139","Tomorrow I'm visiting @JoeBiden to discuss beefing up #stimulus oversight,  transparency in federal spending. Any suggestions to pass along?"
"140","Darn right I'm looking to empower your frontline waste watchdogs: http://j.mp/haTjFf Need all eyes on spending we can get, yours included"
"141","RT @GOPConference New GOP Leadership Team on Creating Jobs, Cutting Spending &amp; Reforming Congress http://plixi.com/p/57710480"
"142","Great look at some spending issues: http://j.mp/cmZJ5V And great taste in Twitter avatars! @Doc_0"
"143","@RealSdotbailey thanks Shawn...my goal is tough oversight, cutting spending &amp; shrinking government, not http://youtu.be/917Q8dbpRLE"
"144","@lilleth71 good question...tracking #stimulus propaganda signs targets wasteful government spending.  Telling on other Americans doesn't."
"145","My top priority is living up to the mandate you gave us: tough oversight, less spending, smaller government http://tinyurl.com/37jmgpp @CNBC"
"146","@FoxNewsSunday takeaway: We're the government reform &amp; taxpayer accountability committee &amp; will deliver straight facts to help cut spending"
"147","About last night 2: our mandate is clear: less spending, more accountability, government out of the way of private sector job growth"
"148","THANK YOU to the 667 citizen-watchdogs helping us hold the WH accountable for wasteful #stimulus spending: http://j.mp/cNSnDJ"
"149","Numbers don't lie: Record gov. spending, punting on tax relief &amp; heavy gov. meddling in health care, etc. has hurt, not helped, job creators"
"150","Fiscal leadership demands spending cuts, pro-jobs tax policies and honest accounting. Sacramento and US Congress failing on all three."
"151","Lot of hot talk on tax cuts up here.  Why not axe federal spending?  Makes tax cuts a lot easier, no? http://youtu.be/IB_-bgyRt4k"
"152","Meanwhile, we hope you will step into the oversight breach with us and track down wasteful stimulus spending: http://youtu.be/oiHoD28SAIg"
"153","@RepAaronSchock and I asked what resources stimulus oversight board needs to deliver taxpayers the spending answers they deserve"
"154","RT @GOPLeader Attn @presssec: Republicans are unified-to boost our economy we must stop ALL tax hikes &amp; cut spending now"
"155","RT @USASpeakingOut Americans asking, Where are the Jobs? @GOPLeader  offers 2-point plan: cut spending, freeze taxes: http://bit.ly/cN84ut"
