"","x"
"182","Confidence in Obama reaches new low in WaPo/ABC poll http://ht.ly/2aIcT #tcot #tlot #gop"
"183","Why the """"individual mandate"""" in ObamaCare may get overturned by the courts http://ht.ly/36KN4"
"184","A preview of some of the showdowns between House Republicans and President Obama likely in 2011 http://ht.ly/3vaLJ"
"185","Pres. Obama says gov't """"will go bankrupt"""" if Congress doesn't pass his #hc bill -- I'd say that 12.1 trillion in #debt is bankrupt"
"186","http://twitpic.com/1a2poy - Thousands of Americans have come to Washington to oppose President Obama's health care bill."
"187","Reacting to Pres Obama's speech last night on C-SPAN: http://www.youtube.com/user/RepMaryFallin"
"188","Fallin signs discharge petition, demands House vote to repeal Obamacare http://tinyurl.com/28aodsn #tcot #handsoff"
"189","Attending a joint session of Congress where Obama will again lend his support for socialized health care.  I oppose his plan!"
"190","Obama says our health care problem is our deficit problem.  what about his $1 trill spending spree this year?"
"191","ICYMI: Fallin talks with UCO NewsCentral about Obamacare http://tinyurl.com/yf42jr3 @UCOBronchos #hcr"
"192","Obama said his health care bill would reduce premiums but his own administration says they will go up http://tinyurl.com/2eerfpv"
"193","ObamaCare Flatlines: Obama�s Chief Actuary Says 50% of Seniors Will Lose Their Medicare Advantage Plans  http://bit.ly/9UQaXB"
"194","McClintock new video posted to YouTube site about Obama Healthcare: http://www.youtube.com/user/McClintockCA04"
"195","RT @GOPWhip: Dems increased overall federal spending by 22% in 1 year. WSJ: The Obama Fisc http://j.mp/cd3UfZ"
"196","ObamaCare: Three Months of Broken Promises � the 43pg progress report from the @GOPLeader office: http://bit.ly/aaaTH7 #hcr"
"197","RT @GOPLeader: Pres. Obama�s bailout bill would institutionalize �too big to fail"""" for Goldman Sachs, &amp; Wall St. giants http://bit.ly/awMuEh"
"198","From @WSJ: The 8,011-person crisis - ObamaCare�s pre-existing condition program is a bust. http://on.wsj.com/doNrsZ"
"199","RT @Heritage: Must-read Morning Bell! An Obamacare and Obama tax hike double whammy is hitting America's seniors. http://herit.ag/tfI"
"200","Obama #debt &amp; deficit commission: """"This debt is like a cancer."""" http://bit.ly/9IdSFj #tcot #econ"
"201","Today�s ruling by US District Judge Hudson on constitutionality of ObamaCare is a victory for individual liberty http://bit.ly/geK3Xn"
"202","POTUS fiscal commish member: �govt is going to have to be smaller.� Same Senator who voted for ObamaCare. http://bit.ly/bXs6EM"
"203","RT@Robert_Aderholt At the G-20 Summit, Obama urged continued federal spending, but was rejected by world leaders.http://fb.me/tYHzhKal"
"204","Obama administration pretending Mexico not flooding U.S. with meth. http://bit.ly/dxZDzt #tcot #gop"
"205","Obama has created more debt in one year than Bush did in 8 years. We must cut spending, not just freeze it."
"206","Click the link to view my Fox Business interview prior to President Obama�s major health care speech. http://tinyurl.com/m33xh5"
"207","Many expect Obama tonight to use the oil spill as an excuse to pass cap-and-tax legislation. What do you think? http://tinyurl.com/29a5wtt"
"208","If HCR will save Medicare, why did Sec Sebelius tell me Pres Obama supports cutting $500B from Medicare? Video @ 4m, 30s: http://ow.ly/1bfDO"
"209","House Dems oppose taking a vote on tax deal between Pres Obama &amp; GOP - only 22 days left to stop the job-killing tax hike"
"210","From Yahoo News: President Obama's iffy math -  http://tinyurl.com/nnavq6"
"211","http://twitpic.com/25jp7o Hearin on """"States of Disaster: Challenges in Responding to ObamaCare"""" as part of AmericaSpeakingOut.com"
"212","Still have ?s for BP and the Obama Admin? WH @PressSec Robert Gibbs will take ?s at youtube.com/whitehouse tonight."
"213","Obama and Bloomberg, must let #freemarkets work. http://bit.ly/b0aKL3 #stopspending #stopborrowing #tcot #sgp #seanhanity #marklevinshow"
"214","Pres Obama pushes more borrowing and spending? Socialist countries say no. We should too. Let the freemarket work! http://bit.ly/9ftxEB"
"215","30 companies (incl McDonalds) get waviers from #hcr law, http://usat.ly/9tqzw7 Waive the rest us all from the expensive, Obamacare! #tcot"
"216","Obama omb nominee got $900000 after citigroup bailout. http://bit.ly/bCA34x. Dems take taxpayers $'s and redistribute to wealthy supporters."
"217","Ks CR's oppose govt takeover of GM, AIG, banks, #hcr, student loans, worried with 10% unemp.  Pres Obama keep the change. #tcot #realdeal"
"218","We need to repeal and replace Obamacare. #hcr I'm the only one in the Ks Senate race with a plan. http://www.dnj.com/obits. #teaparty #ksgop"
"219","The unauthorized bailout funds should be used to pay the national debt that's skyrocketed under the Obama admins reckless spending policies"
"220","Since Pelosi is """"deeming"""" the Senate Healtcare bill passed, what would you like to """"deem""""?  #realdeal opposition to Obamacare."
"221","Obamanomics fails! http://www.telegraph.co.uk/finance/economics/7769126/US-money-supply-plunges-at-1930s-pace-as-Obama-eyes-fresh-stimulus"
"222","Obama's foreign policy is on its head with Brazil and Turkey favoring Iran over US. Perhaps he will apologize to us for the failure. #tcot"
"223","Join the fight against Obama and Reid's liberal spending spree! http://vimeo.com/9054855 #tcot #teaparty"
"224","New WSJ poll shows that 62% of the country doesn't favor the big government policies of the Obama Administration. http://bit.ly/aayk4u"
"225","56% of Americans still oppose ObamaCare. http://tinyurl.com/27ky8vj"
"226","Discussing the true cost of ObamaCare. #HCSG http://www.ustream.tv/channel/Health-Caucus"
"227","Washington Times - Price: Obama failed to connect with Americans http://tinyurl.com/ybyf8bz"
"228","Rep. Bill Cassidy: Obama should take long view on spill http://politi.co/9g58Gv @drcassidy"
"229","Even with 9.6 percent unemployment, President Obama claims his policies have put the economy back on track. So where are the jobs?"
"230","The number of people who want to repeal ObamaCare keeps growing. http://tinyurl.com/y8svats"
"231","Here's a hint: it's not what Americans want. David Freddoso: 5 things we learned about Obamacare after it passed http://tinyurl.com/yfjy2d4"
"232","It�s time for Obama to prove his rhetoric actually means something by pledging to veto this pork-laden spending bill if it passes Congress."
"233","RT @gopconference: President Obama Admits ObamaCare Not Cutting Costs Like He Promised  http://bit.ly/dtGzP1"
"234","RT @virginiafoxx: Obama wants pro-abortion nominee to Supreme Court, WaPo reports: http://bit.ly/cPfUT1 Sure sounds like a """"litmus test""""..."
"235","Obama Admin. won't secure porous borders, so I introduced Nat'l Border and Homeland Security Act of 2010: http://bit.ly/95Om3d"
"236","USA Today: 'Federal debt burdens Obama, and maybe health care' http://tinyurl.com/n89stc"
"237","I am proud to cosponsor HR 3140, the REBOUND Act, which would repeal the Obama stimulus and prevent further TARP bailouts http://is.gd/43cr0"
"238","Why is President Obama calling on Congress to approve $100 billion for the IMF when we are hurting at home?  http://tinyurl.com/dcrb5v"
"239","President Obama announced yesterday that he will send 1,200 troops to the... http://www.facebook.com/RobertAderholt/posts/119933108042113"
"240","Democrat and Republican members of Congress met with Pres. Obama today at the White House to discuss job creations.... http://bit.ly/7cTD6L"
