"","x"
"685","Neutral"
"686","Positive"
"687","Positive"
"688","Neutral"
"689","Positive"
"690","Positive"
"691","Neutral"
"692","Positive"
"693","Positive"
"694","Positive"
"695","Positive"
"696","Positive"
"697","Neutral"
"698","Positive"
"699","Positive"
"700","Negative"
"701","Negative"
"702","Positive"
"703","Positive"
"704","Positive"
"705","Negative"
"706","Negative"
"707","Positive"
"708","Negative"
"709","Neutral"
"710","Neutral"
"711","Neutral"
"712","Negative"
"713","Positive"
"714","Neutral"
"715","Negative"
"716","Negative"
"717","Neutral"
"718","Positive"
"719","Neutral"
"720","Neutral"
"721","Negative"
"722","Neutral"
"723","Positive"
"724","Negative"
"725","Positive"
"726","Neutral"
"727","Negative"
"728","Neutral"
"729","Negative"
"730","Negative"
"731","Positive"
"732","Negative"
"733","Positive"
"734","Positive"
"735","Neutral"
"736","Neutral"
"737","Positive"
"738","Positive"
"739","Neutral"
"740","Positive"
"741","Neutral"
"742","Positive"
"743","Positive"
"744","Neutral"
"745","Neutral"
"746","Positive"
"747","Positive"
"748","Positive"
"749","Positive"
"750","Positive"
"751","Positive"
"752","Positive"
"753","Neutral"
"754","Neutral"
"755","Positive"
"756","Neutral"
"757","Positive"
"758","Neutral"
"759","Negative"
"760","Positive"
"761","Positive"
"762","Positive"
"763","Neutral"
"764","Positive"
"765","Negative"
"766","Negative"
"767","Positive"
"768","Neutral"
"769","Positive"
"770","Negative"
"771","Negative"
"772","Negative"
"773","Positive"
"774","Neutral"
"775","Positive"
"776","Neutral"
"777","Negative"
"778","Neutral"
"779","Neutral"
"780","Negative"
"781","Positive"
"782","Negative"
"783","Neutral"
"784","Positive"
"785","Neutral"
"786","Neutral"
"787","Neutral"
"788","Negative"
"789","Positive"
"790","Positive"
"791","Negative"
"792","Positive"
"793","Positive"
"794","Positive"
"795","Neutral"
"796","Negative"
"797","Neutral"
"798","Negative"
"799","Positive"
"800","Negative"
"801","Negative"
"802","Positive"
"803","Positive"
"804","Negative"
"805","Negative"
"806","Neutral"
"807","Neutral"
"808","Neutral"
"809","Positive"
"810","Positive"
"811","Positive"
"812","Positive"
"813","Positive"
"814","Neutral"
"815","Neutral"
"816","Positive"
"817","Negative"
"818","Neutral"
"819","Neutral"
"820","Positive"
"821","Negative"
"822","Positive"
"823","Neutral"
"824","Neutral"
"825","Positive"
"826","Positive"
"827","Positive"
"828","Negative"
"829","Neutral"
"830","Positive"
"831","Neutral"
"832","Neutral"
"833","Neutral"
"834","Neutral"
"835","Neutral"
"836","Negative"
"837","Neutral"
"838","Positive"
"839","Positive"
"840","Negative"
"841","Neutral"
"842","Positive"
"843","Positive"
"844","Neutral"
"845","Positive"
"846","Neutral"
"847","Positive"
"848","Negative"
"849","Neutral"
"850","Neutral"
"851","Negative"
"852","Positive"
"853","Negative"
"854","Negative"
"855","Neutral"
"856","Positive"
"857","Negative"
"858","Positive"
"859","Positive"
"860","Neutral"
"861","Positive"
"862","Negative"
"863","Positive"
"864","Negative"
"865","Positive"
"866","Negative"
"867","Negative"
"868","Positive"
"869","Neutral"
"870","Neutral"
"871","Neutral"
"872","Positive"
"873","Positive"
"874","Neutral"
"875","Negative"
"876","Positive"
"877","Positive"
"878","Positive"
"879","Positive"
"880","Positive"
"881","Positive"
"882","Positive"
"883","Neutral"
"884","Neutral"
"885","Positive"
"886","Positive"
"887","Negative"
"888","Neutral"
"889","Neutral"
"890","Positive"
"891","Positive"
"892","Positive"
"893","Negative"
"894","Negative"
"895","Positive"
"896","Positive"
"897","Negative"
"898","Negative"
"899","Positive"
"900","Positive"
"901","Positive"
"902","Negative"
"903","Neutral"
"904","Neutral"
"905","Negative"
"906","Neutral"
"907","Negative"
"908","Positive"
"909","Neutral"
"910","Positive"
"911","Neutral"
"912","Negative"
"913","Negative"
"914","Neutral"
"915","Neutral"
"916","Positive"
"917","Positive"
"918","Positive"
"919","Positive"
"920","Negative"
"921","Positive"
"922","Negative"
"923","Positive"
"924","Positive"
"925","Positive"
"926","Positive"
"927","Positive"
"928","Negative"
"929","Positive"
"930","Neutral"
"931","Negative"
"932","Neutral"
"933","Neutral"
"934","Negative"
"935","Positive"
"936","Neutral"
"937","Negative"
"938","Neutral"
"939","Neutral"
"940","Neutral"
"941","Neutral"
"942","Negative"
"943","Neutral"
"944","Positive"
"945","Neutral"
"946","Positive"
"947","Negative"
"948","Negative"
"949","Negative"
"950","Negative"
"951","Negative"
"952","Positive"
"953","Positive"
"954","Positive"
"955","Positive"
"956","Positive"
"957","Negative"
"958","Positive"
"959","Negative"
"960","Negative"
"961","Positive"
"962","Positive"
"963","Positive"
"964","Neutral"
"965","Neutral"
"966","Neutral"
"967","Positive"
"968","Positive"
"969","Negative"
"970","Neutral"
"971","Neutral"
"972","Negative"
"973","Negative"
"974","Positive"
"975","Positive"
"976","Negative"
"977","Negative"
"978","Neutral"
"979","Neutral"
"980","Positive"
"981","Positive"
"982","Positive"
"983","Positive"
"984","Neutral"
"985","Neutral"
"986","Neutral"
"987","Neutral"
"988","Negative"
"989","Positive"
"990","Negative"
"991","Positive"
"992","Positive"
"993","Positive"
"994","Positive"
"995","Positive"
"996","Neutral"
"997","Neutral"
"998","Negative"
"999","Negative"
"1000","Positive"
"1001","Positive"
"1002","Negative"
"1003","Positive"
"1004","Positive"
"1005","Negative"
"1006","Positive"
"1007","Negative"
"1008","Negative"
"1009","Negative"
"1010","Positive"
"1011","Negative"
"1012","Positive"
"1013","Negative"
"1014","Neutral"
"1015","Neutral"
"1016","Negative"
"1017","Positive"
"1018","Positive"
"1019","Positive"
"1020","Positive"
"1021","Positive"
"1022","Neutral"
"1023","Neutral"
"1024","Positive"
"1025","Positive"
"1026","Positive"
"1027","Negative"
"1028","Neutral"
"1029","Positive"
"1030","Neutral"
"1031","Positive"
"1032","Positive"
"1033","Neutral"
"1034","Positive"
"1035","Positive"
"1036","Positive"
"1037","Neutral"
"1038","Neutral"
"1039","Positive"
"1040","Positive"
"1041","Positive"
"1042","Positive"
"1043","Positive"
"1044","Negative"
"1045","Positive"
"1046","Neutral"
"1047","Negative"
"1048","Neutral"
"1049","Positive"
"1050","Neutral"
"1051","Neutral"
"1052","Neutral"
"1053","Neutral"
"1054","Positive"
"1055","Negative"
"1056","Positive"
"1057","Positive"
"1058","Positive"
"1059","Positive"
"1060","Positive"
"1061","Neutral"
"1062","Negative"
"1063","Positive"
"1064","Negative"
"1065","Negative"
"1066","Positive"
"1067","Negative"
"1068","Neutral"
"1069","Positive"
"1070","Neutral"
"1071","Positive"
"1072","Positive"
"1073","Negative"
"1074","Positive"
"1075","Positive"
"1076","Neutral"
"1077","Positive"
"1078","Positive"
"1079","Neutral"
"1080","Positive"
"1081","Positive"
"1082","Negative"
"1083","Neutral"
"1084","Negative"
"1085","Negative"
"1086","Neutral"
"1087","Negative"
"1088","Positive"
"1089","Positive"
"1090","Neutral"
"1091","Negative"
"1092","Negative"
"1093","Negative"
"1094","Negative"
"1095","Positive"
"1096","Neutral"
"1097","Negative"
"1098","Positive"
"1099","Positive"
"1100","Neutral"
"1101","Negative"
"1102","Positive"
"1103","Positive"
"1104","Negative"
"1105","Neutral"
"1106","Positive"
"1107","Negative"
"1108","Neutral"
"1109","Negative"
"1110","Neutral"
"1111","Neutral"
"1112","Negative"
"1113","Positive"
"1114","Negative"
"1115","Neutral"
"1116","Positive"
"1117","Positive"
"1118","Positive"
"1119","Negative"
"1120","Positive"
"1121","Positive"
"1122","Negative"
"1123","Negative"
"1124","Negative"
"1125","Positive"
"1126","Positive"
"1127","Negative"
"1128","Negative"
"1129","Positive"
"1130","Negative"
"1131","Negative"
"1132","Negative"
"1133","Positive"
"1134","Positive"
"1135","Negative"
"1136","Negative"
"1137","Positive"
"1138","Negative"
"1139","Positive"
"1140","Positive"
"1141","Positive"
"1142","Positive"
"1143","Negative"
"1144","Neutral"
"1145","Negative"
"1146","Positive"
"1147","Positive"
"1148","Positive"
"1149","Neutral"
"1150","Negative"
"1151","Positive"
"1152","Positive"
"1153","Positive"
"1154","Positive"
"1155","Neutral"
"1156","Positive"
"1157","Neutral"
"1158","Negative"
"1159","Positive"
"1160","Positive"
"1161","Positive"
"1162","Positive"
"1163","Negative"
"1164","Positive"
"1165","Neutral"
"1166","Positive"
"1167","Neutral"
"1168","Neutral"
"1169","Positive"
"1170","Positive"
"1171","Positive"
"1172","Positive"
"1173","Neutral"
"1174","Neutral"
"1175","Neutral"
"1176","Positive"
"1177","Neutral"
"1178","Neutral"
"1179","Positive"
"1180","Neutral"
"1181","Positive"
"1182","Neutral"
"1183","Negative"
"1184","Negative"
"1185","Positive"
"1186","Positive"
"1187","Positive"
"1188","Neutral"
"1189","Positive"
"1190","Neutral"
"1191","Positive"
"1192","Positive"
"1193","Negative"
"1194","Negative"
"1195","Neutral"
"1196","Negative"
"1197","Positive"
"1198","Neutral"
"1199","Negative"
"1200","Negative"
"1201","Positive"
"1202","Positive"
"1203","Negative"
"1204","Neutral"
"1205","Positive"
"1206","Positive"
"1207","Positive"
"1208","Neutral"
"1209","Positive"
"1210","Positive"
"1211","Neutral"
"1212","Negative"
"1213","Positive"
"1214","Negative"
"1215","Positive"
"1216","Neutral"
"1217","Negative"
"1218","Positive"
"1219","Positive"
"1220","Neutral"
"1221","Negative"
"1222","Positive"
"1223","Positive"
"1224","Positive"
"1225","Neutral"
"1226","Neutral"
"1227","Positive"
"1228","Positive"
"1229","Positive"
"1230","Negative"
"1231","Positive"
"1232","Neutral"
"1233","Negative"
"1234","Negative"
"1235","Positive"
"1236","Positive"
"1237","Neutral"
"1238","Positive"
"1239","Neutral"
"1240","Neutral"
"1241","Negative"
"1242","Negative"
"1243","Negative"
"1244","Negative"
"1245","Neutral"
"1246","Neutral"
"1247","Positive"
"1248","Negative"
"1249","Positive"
"1250","Negative"
"1251","Negative"
"1252","Negative"
"1253","Negative"
"1254","Negative"
"1255","Positive"
"1256","Positive"
"1257","Positive"
"1258","Positive"
"1259","Neutral"
"1260","Positive"
"1261","Positive"
"1262","Positive"
"1263","Negative"
"1264","Positive"
"1265","Neutral"
"1266","Negative"
"1267","Positive"
"1268","Positive"
"1269","Neutral"
"1270","Negative"
"1271","Positive"
"1272","Neutral"
"1273","Negative"
"1274","Positive"
"1275","Positive"
"1276","Negative"
"1277","Positive"
"1278","Positive"
"1279","Negative"
"1280","Negative"
"1281","Negative"
"1282","Neutral"
"1283","Negative"
"1284","Positive"
"1285","Negative"
"1286","Neutral"
"1287","Positive"
"1288","Positive"
"1289","Neutral"
"1290","Neutral"
"1291","Neutral"
"1292","Negative"
"1293","Positive"
"1294","Positive"
"1295","Neutral"
"1296","Neutral"
"1297","Neutral"
"1298","Positive"
"1299","Negative"
"1300","Neutral"
"1301","Positive"
"1302","Neutral"
"1303","Negative"
"1304","Neutral"
"1305","Negative"
"1306","Neutral"
"1307","Negative"
"1308","Negative"
"1309","Negative"
"1310","Positive"
"1311","Positive"
"1312","Neutral"
